food_id,item,veg_or_non_veg
fd12625,American Chop suey (Non Veg),Non-veg
fd12626,Chicken Singapuri Noodles,Non-veg
fd12628,Mixed Chowmin,Non-veg
fd12634,Soya Chap,Veg
fd12635,Chicken Tanoor,Non-veg
fd12638,Abu Chilli Kebab,Veg
fd12639,Lehsuni Kebab,Veg
fd12641,Chicken Abu Chilli Kabab,Non-veg
fd12642,Chicken Boti Kebab,Non-veg
fd12644,Chara-pona,Non-veg
fd12645,Mourola,Non-veg
fd12646,Katla (1 Pc),Non-veg
fd12647,Elish,Non-veg
fd12657,Chicken Punjabi ( With-bone ),Non-veg
fd12661,Boneless Chicken Takatak,Non-veg
fd12665,Boneless Chilli Chicken (8 Pcs),Non-veg
fd12667,Boneless Chicken Salt and Pepper,Non-veg
fd12668,Boneless Garlic Chicken,Non-veg
fd12669,Crispy Honey Chilli Chicken,Non-veg
fd12670,Hunan Chicken,Non-veg
fd12671,Chicken in Hot Garlic Sauce,Non-veg
fd12674,Milanees Fried Chicken,Non-veg
fd12676,Omelette (2 Pcs),Non-veg
fd12677,Egg Bhurji (2 Pcs),Non-veg
fd12680,Mutton Dehati,Non-veg
fd12685,Prawn Manchurian,Non-veg
fd12688,Normal Thali,Veg
fd12697,Veg Takatak,Veg
fd12698,Mushroom Dopiyaza,Veg
fd12700,Patal Masala,Veg
fd12701,Aloo Bhindi,Veg
fd12702,Dhokar Dalna,Veg
fd12703,Aloo Patal,Veg
fd12704,Aloo Posto,Veg
fd12715,Postor Bada (2 Pcs),Veg
fd12717,Mattar Mushroom,Veg
fd12721,Veg Tadka,Veg
fd12722,Butter Tadka,Veg
fd12725,Plain Yellow Dal,Veg
fd12737,Paneer Pakiza,Veg
fd12742,Mixed Fried Rice (Non Veg),Non-veg
fd12745,Plain Rice (Basmati),Veg
fd12760,Chutney,Veg
fd12761,Tawa Roti (1 Pc),Veg
fd12763,Tandoori Roti Plain (1 Pc),Veg
fd12764,Tandoori Roti Butter (1 Pc),Veg
fd12771,Egg Mughlai Paratha,Non-veg
fd12773,Egg Biryani (half),Non-veg
fd12774,Egg Biryani (full),Non-veg
fd12775,Chicken Egg Biryani (half),Non-veg
fd12776,Chicken Egg Biryani (full),Non-veg
fd12777,Chicken Biryani (half),Non-veg
fd12778,Chicken Biryani (full),Non-veg
fd12782,Double Chicken Roll,Non-veg
fd12785,Double Chicken Egg Roll,Non-veg
fd12787,Double Paneer Roll,Veg
fd12788,Double Paneer Egg Roll,Non-veg
fd12790,Double Egg Paneer Roll,Non-veg
fd12791,Double Egg Double Paneer Roll,Non-veg
fd12794,Chicken Fry (5pcs),Non-veg
fd12795,Chicken Kanti Kebab (12pcs),Non-veg
fd12796,Paratha (5pcs),Veg
fd12797,Paratha (3pcs),Veg
fd12798,"Balushahi ( Desi Ghee , 2 Pcs)",Veg
fd12799,Mysore Pak (250 Gms),Veg
fd12800,"Jalebi ( Big, 2 Pcs)",Veg
fd12801,Sponge Rasgulla (10 Pcs),Veg
fd12802,Milk Cake (500gm),Veg
fd12806,Chana Dal Fry (250 Gms),Veg
fd12807,Thepla (2 Pcs),Veg
fd12808,Veg Chowmin (1 Plate),Veg
fd12809,Paneer Pakoda ( 10 Pcs),Veg
fd12810,Vegetable Biryani (1 Plate),Veg
fd12811,Moong Dal Kachori (2 Pcs),Veg
fd12812,Paneer Pakoda (15 Pcs),Veg
fd12813,Ghee Litti Chokha (4 Pcs),Veg
fd12814,Special Chole Bhature (2 Pcs),Veg
fd12815,Veg Momos (8pcs),Veg
fd12816,Veg Pattice,Veg
fd12817,Balushahi 4 Pcs,Veg
fd12818,Kaju Barfi  500 Gms,Veg
fd12819,Dhokla 4 Pcs,Veg
fd12820,Chenna Jalebi 4 Pcs,Veg
fd12821,Samosa (4 Pcs),Veg
fd12822,Samosa (10 Pcs),Veg
fd12823,Mast Julab Jamun (4 Pcs),Veg
fd12824,Jalebi 5 Pcs,Veg
fd12825,Jalebi (10 Pcs) Small,Veg
fd12826,Veg Cutlet (4 Pcs),Veg
fd12827,Golgappa,Veg
fd12829,Matar Puri (4 Pcs),Veg
fd12830,Pepsi (2 Litre),Veg
fd12831,Mango Shake ( 250 ml),Veg
fd12832,Cold coffee (300 ml),Veg
fd12833,Mahi Dana (250 Gms),Veg
fd12835,Irani Barfi (250 Gms),Veg
fd12836,Amla Bhog (4 Pcs),Veg
fd12838,Pure Ras Malai (250 Gms),Veg
fd12840,Lajawab Paneer Jalebi (4 Pcs),Veg
fd12841,Sweet Boondi (250 Gms),Veg
fd12842,Super Kalakand (500gm),Veg
fd12845,Ghee Ladoo (500gm),Veg
fd12846,Special Gondh Ladoo With Nuts (500gm),Veg
fd12850,Vada (2 Pcs),Veg
fd12852,Special Veg Patties,Veg
fd12855,Sattu Puri (2 Pcs),Veg
fd12856,Aloo Puri ( 4 Pcs),Veg
fd12858,Pure Malai Paneer (250 Gms),Veg
fd12861,Pyaaz Pakoda (2 Plate),Veg
fd12863,Pyaz ka Pakora (10pcs),Veg
fd12864,Special Mix Chanachur (500gm),Veg
fd12866,Kachori With Sabji (4 Pcs),Veg
fd12867,Plain Litti Chokha (4 Pcs),Veg
fd12870,Aloo Bonda (2 Pcs),Veg
fd12884,Pyazi (4 Pcs),Veg
fd12885,"Fried Makhana ( Butter , 100gm)",Veg
fd12886,Chinese Samosa (2 Pcs),Veg
fd12887,Jhaal Muri (1 Plate),Veg
fd12888,Veg Fried Rice (1 Plate),Veg
fd12889,Chole Bhature (2 Pcs),Veg
fd12890,Alu Chop (2 Pcs),Veg
fd12892,Gopi Chop 4 Pcs,Veg
fd12893,Began Pakodi 8 Pcs,Veg
fd12895,Butter Onion Plain Dosa,Veg
fd12898,Veg Cutlet Chat,Veg
fd12899,Pyazi Chat,Veg
fd12900,Bread Chop Chat,Veg
fd12901,Alu Chop Chat,Veg
fd12904,Alu Puri (4 Pcs),Veg
fd12905,Aluparatha (2 pcs),Veg
fd12906,Sattu paratha (2 pcs),Veg
fd12907,Mix Fruit Juice (300 Ml),Veg
fd12908,Thumps Up (2 Litre),Veg
fd12911,Special Elaichi Tea (80 ml),Veg
fd12912,Mix Fruit Juice (250 ml),Veg
fd12913,Pomegranate/ Anaar Juice (250 ml),Veg
fd12914,Mosambi Juice (250 ml),Veg
fd12915,Sweet Lassi (250 ml),Veg
fd12937,Bbq Chicken Roll,Non-veg
fd12949,Chicken Curry Home Style,Non-veg
fd12954,Chicken Lababdar (Bone),Non-veg
fd12956,Murg Mussalam,Non-veg
fd12957,Butter Chicken (Original),Non-veg
fd12960,Dal Tadka (Yellow),Veg
fd12962,Butter Dal Fry (Yellow),Veg
fd12966,Hot & Sour Veg,Veg
fd12967,Manchow Veg,Veg
fd12968,Noodles Soup Veg,Veg
fd12969,Sweet Corn Veg,Veg
fd12970,Clear Soup Veg,Veg
fd12971,Talumein Soup Veg,Veg
fd12972,Lemon Coriander Veg,Veg
fd12973,Chicken Lemon Corriender,Non-veg
fd12975,Chicken Noodles Soup,Non-veg
fd12978,Paneer Garlic,Veg
fd12981,Paneer Hot Garlic Dry,Veg
fd12984,Paneer Hot Garlic Gravy,Veg
fd12985,Paneer Dragon (Dry),Veg
fd12986,Paneer Bbq (Dry),Veg
fd12987,Paneer Hot Garlic Coriander (Dry),Veg
fd12988,Schezwan Paneer (Dry),Veg
fd12989,Shanghai Paneer (Dry),Veg
fd12990,Paneer In Butter Garlic Sauce,Veg
fd12992,Paneer Cheese Lollipop,Veg
fd12995,Roasted Paneer Chilli Dry (6 Pcs),Veg
fd13000,Baby Corn Golden Fry,Veg
fd13001,Baby Corn & Mushroom Chilli,Veg
fd13002,Baby Corn &Mushroom Salt & Pepper,Veg
fd13004,Chana Chilli Salt & Pepper,Veg
fd13007,Soya Chilli,Veg
fd13012,Chicken Ginger Dry,Non-veg
fd13013,Chicken Hot Garlic Dry,Non-veg
fd13015,Chicken Ginger Gravy,Non-veg
fd13016,Chicken Hot Garlic Gravy,Non-veg
fd13017,Chicken Dragon (Dry),Non-veg
fd13018,Chicken Bbq (Dry),Non-veg
fd13019,Chicken Hot Garlic Coriander,Non-veg
fd13020,Chicken Schezwan,Non-veg
fd13021,Shanghai Chicken (Dry),Non-veg
fd13022,Chicken Butter Garlic (Gravy),Non-veg
fd13024,Chicken Lemon,Non-veg
fd13025,Chicken Garlic,Non-veg
fd13027,Roasted Chilli Chicken (6 Pcs),Non-veg
fd13028,Chicken Sweet & Sour,Non-veg
fd13029,Chicken Slice,Non-veg
fd13032,Tai Pai Chicken,Non-veg
fd13034,Pan Fried Chilli Chicken,Non-veg
fd13035,Chicken Peri Peri,Non-veg
fd13038,Fish Manchurian Dry,Non-veg
fd13039,Fish Ginger Dry,Non-veg
fd13040,Fish Hot Garlic Dry,Non-veg
fd13041,Fish Chilli Gravy,Non-veg
fd13043,Fish Ginger Gravy,Non-veg
fd13044,Fish Hot Garlic Gravy,Non-veg
fd13045,Bbq Fish (Dry),Non-veg
fd13046,Fish Hot Garlic Coriander,Non-veg
fd13047,Fish Butter Garlic,Non-veg
fd13048,Schezwan Fish,Non-veg
fd13049,Fish Garlic,Non-veg
fd13057,Veg Chowmein (Gravy),Veg
fd13059,Veg Paneer Hakka Noodles,Veg
fd13061,Chicken Mix Hakka Noodles,Non-veg
fd13062,Chicken Chilli Hakka Noodles,Non-veg
fd13064,Chicken Chowmein (Gravy),Non-veg
fd13065,Chicken Pan Fried Noodles,Non-veg
fd13067,Egg Chilli Garlic Noodles,Non-veg
fd13068,Egg Panfried Noodles,Non-veg
fd13069,Egg Chowmein (Gravy),Non-veg
fd13072,Veg Chilli Garlic Rice,Veg
fd13075,Veg Bon Ginger Fried Rice,Veg
fd13076,Veg Bon Garlic Fried Rice,Veg
fd13079,Chicken Chilli Garlic Garlic Fried Rice,Non-veg
fd13082,Bon Chicken Ginger Fried Rice,Non-veg
fd13083,Bon Chicken Garlic Fried Rice,Non-veg
fd13086,Egg Chilli Garlic Fried Rice,Non-veg
fd13087,Bon Egg Ginger Fried Rice,Non-veg
fd13088,Bon Egg Garlic Fried Rice,Non-veg
fd13093,Tandoori Paneer Roll,Veg
fd13099,Chicken 65 Roll,Non-veg
fd13101,Chicken Cheese Roll,Non-veg
fd13102,Paneer Cheese Roll,Veg
fd13103,Veg Cheese Roll,Veg
fd13104,Chicken Tikka Cheese Roll,Non-veg
fd13110,Paneer Lazeez,Veg
fd13114,Paneer Laccha,Veg
fd13117,Kumb Matar Paneer,Veg
fd13122,Mushroom Taka Tak,Veg
fd13123,Mushroom Baby Corn Masala,Veg
fd13126,Handi Veg,Veg
fd13143,Chicken Amritsari,Non-veg
fd13144,Chicken Patiala,Non-veg
fd13146,Chicken Chingri (Extra Spicy),Non-veg
fd13147,Murg Kalimirch,Non-veg
fd13148,Chicken Rara,Non-veg
fd13150,Chicken Taka Tak,Non-veg
fd13152,Chicken Lazeez,Non-veg
fd13153,Chicken Dhania Adraki,Non-veg
fd13161,Dhaba Wali Dal,Veg
fd13162,Dal Tadka (Black),Veg
fd13165,Egg Dal Tadka (Black),Non-veg
fd13169,Kashmiri Mirchi,Veg
fd13176,Tawa Roti Plain,Veg
fd13178,Uthapam,Veg
fd13182,Onion Butter Sada Dosa,Veg
fd13191,Idli (Per Plate 2 Pcs),Veg
fd13193,Aloo Bonda Chaat,Veg
fd13194,Sambar Vada (Per Plate 2 Pcs),Veg
fd13195,Dahi Vada (Per Plate 2 Pcs),Veg
fd13196,Bonda (Per Plate 2 Pcs),Veg
fd13219,Samosa (Per Plate 2 Pcs),Veg
fd13220,Vada (Per Plate 2 Pcs),Veg
fd13234,Crispy American Corn,Veg
fd13237,Chicken Tikka Chilli Dry (6 Pcs),Non-veg
fd13238,9' Paneer Shanghai Pizza,Veg
fd13239,9' Chicken Manchurian Pizza,Non-veg
fd13249,Veg Hakka Chowmein Dry,Veg
fd13257,Chicken Shanghai Dry,Non-veg
fd13262,Mater Masala,Veg
fd13263,Murgh Butter Masala,Non-veg
fd13264,Murgh Kadhai,Non-veg
fd13265,Murgh Kassa,Non-veg
fd13266,Murgh Tikka Kolhapuri,Non-veg
fd13272,Tandoori Chicken (4 Pcs),Non-veg
fd13275,Tandoori Chicken Chilli Dry,Non-veg
fd13276,9' Veg Pizza,Veg
fd13279,9' Paneer Chinese Inn Special Pizza,Veg
fd13280,9' Chicken Pizza,Non-veg
fd13281,9' Chilli Chicken Pizza,Non-veg
fd13283,9' Chicken Shanghai Pizza,Non-veg
fd13284,9' Chicken Chinese Inn Special Pizza,Non-veg
fd13285,9' Chicken Tikka Pizza,Non-veg
fd13286,9' Paneer Manchurian Pizza,Veg
fd13288,Veg Burger Mayo,Veg
fd13290,Chilli Paneer Burger Mayo,Veg
fd13292,Chicken Burger Mayo,Non-veg
fd13293,Chilli Chicken Burger,Non-veg
fd13294,Chilli Chicken Burger Mayo,Non-veg
fd13298,Veg Talumien Soup,Veg
fd13299,Veg Ci Special Soup,Veg
fd13304,Chicken CI Special Soup,Non-veg
fd13308,Veg Chinese In Special  Fried Rice,Veg
fd13309,Chicken Chinese In Special  Fried Rice,Non-veg
fd13311,Mix Chicken & Prawn Fried Rice,Non-veg
fd13313,Chicken Tikka Pulao,Non-veg
fd13315,Chilli Chicken Fried Rice,Non-veg
fd13317,Ginger + Garlic Chicken Fried Rice,Non-veg
fd13318,Fried Chicken Schezwan,Non-veg
fd13324,Egg Hakka Chowmein Dry,Non-veg
fd13325,Chicken Hakka Chowmein Dry,Non-veg
fd13326,Veg Chinese In Special,Veg
fd13327,Chicken Chinese In Special,Non-veg
fd13328,Prawn  Chinese In Special,Non-veg
fd13329,Mix Chicken And Prawn,Non-veg
fd13334,Paneer Sezuan Dry,Veg
fd13336,Paneer Ginger Garlic Dry,Veg
fd13337,Paneer Ginger + Garlic Gravy,Veg
fd13338,Paneer Shanghai Dry,Veg
fd13339,Paneer Chinese In Special Dry,Veg
fd13340,Paneer Chinese In Special Gravy,Veg
fd13341,Chilli Veg Dry,Veg
fd13342,Chilli Veg Gravy,Veg
fd13345,Veg Shezuan Dry,Veg
fd13346,Veg Shezuan Gravy,Veg
fd13347,Veg Ginger + Garlic Dry,Veg
fd13348,Veg Ginger + Garlic Gravy,Veg
fd13349,Veg Shanghai Dry,Veg
fd13354,Chicken Schezwan Dry,Non-veg
fd13356,Ginger + Garlic Chicken,Non-veg
fd13357,Ginger + Garlic Chicken Gravy,Non-veg
fd13359,Chicken Shanghai,Non-veg
fd13360,Chicken Chinese In Special Dry,Non-veg
fd13361,Chicken Chinese In Special Gravy,Non-veg
fd13362,Chilli Prawn Dry,Non-veg
fd13363,Chilli Prawn Gravy,Non-veg
fd13364,Prawn Manchurian Dry,Non-veg
fd13365,Prawn Manchurian Gravy,Non-veg
fd13366,Prawn Schezwan Dry,Non-veg
fd13367,Prawn Schezwan Gravy,Non-veg
fd13368,Ginger + Garlic Prawn Dry,Non-veg
fd13369,Ginger + Garlic Prawn Gravy,Non-veg
fd13370,Prawn Shanghai Dry,Non-veg
fd13371,Prawn Chinese In Special Dry,Non-veg
fd13372,Prawn Chinese In Special Gravy,Non-veg
fd13379,Veg Jhalfrezy,Veg
fd13382,Murgh Kolhapuri,Non-veg
fd13383,Murgh Do Pyaza,Non-veg
fd13385,Murgh Hyderabadi,Non-veg
fd13389,Murgh Tikka Do Piyaza,Non-veg
fd13390,Murgh Tikka Kadhai,Non-veg
fd13391,Murgh Tikka Hyderabadi,Non-veg
fd13392,Murgh Tikka Kassa,Non-veg
fd13394,Prawn Kolhapuri,Non-veg
fd13395,Prawn Do Piyaza,Non-veg
fd13396,Prawn Kadai,Non-veg
fd13397,Prawn Hyderabadi,Non-veg
fd13398,Prawn Kassa,Non-veg
fd13403,"Veg Fried Rice, Chilli Paneer",Veg
fd13404,"Veg Hakka, Chilli Paneer",Veg
fd13405,"Veg Fried Rice, Chilli Chicken",Non-veg
fd13406,"Veg Hakka, Chilli Chicken",Non-veg
fd13407,"Veg Fried Rice, Chilli Prawn",Non-veg
fd13408,"Veg Hakka, Chilli Prawn",Non-veg
fd13409,"2 Tandoor Roti, Paneer Masala",Veg
fd13410,"1 Butter Naan, Paneer Masala",Veg
fd13411,"2 Tandoor Roti, Chicken Masala",Non-veg
fd13412,"1 Butter Naan, Chicken Masala",Non-veg
fd13413,"Veg Fried Rice, Egg Curry",Non-veg
fd13414,"2 Tandoor Roti, Prawn Masala",Non-veg
fd13415,"1 Butter Naan, Prawn Masala",Non-veg
fd13419,Tandoori Fish Tikka,Non-veg
fd13420,Tandoori Chicken (Half),Non-veg
fd13421,Tandoori Chicken (Full),Non-veg
fd13430,Fish Fingers,Non-veg
fd13431,Egg Pakora,Non-veg
fd13432,Chicken Lolipop,Non-veg
fd13434,Veg Tandoori Momo,Veg
fd13435,Veg Steamed Momo,Veg
fd13442,Chicken Haka Noodles,Non-veg
fd13444,Palak Paneer (seasonal),Veg
fd13445,Palak Corn(seasonal),Veg
fd13447,Malai Kofta (4 Pcs),Veg
fd13455,Egg Curry (2 pcs.),Non-veg
fd13457,Omlette,Non-veg
fd13458,Omlette Curry,Non-veg
fd13459,Fish Curry (2 Pcs),Non-veg
fd13460,Fish Masala (2 Pcs),Non-veg
fd13463,Yellow Dal Fry Butter,Veg
fd13464,Dal Makhani (Black Dal),Veg
fd13468,Aloo Paratha ( 2 Pcs),Veg
fd13470,Festive Special Non Veg Thali,Non-veg
fd13471,Festive Special Veg Thali,Veg
fd13472,Non Veg Indian Office Thali,Non-veg
fd13473,Veg Indian Office Thali,Veg
fd13474,Bao With Paneer Tikka,Veg
fd13475,Bao With Chilli Mushroom,Veg
fd13476,Bao With Chilli Paneer,Veg
fd13477,Nachos Supreme,Veg
fd13478,Cheese Loaded Nachos,Veg
fd13479,Cigar Roll,Veg
fd13480,Stuff Mushroom,Veg
fd13481,Bao With Chicken Tikka,Non-veg
fd13482,Bao With Chilli Chicken,Non-veg
fd13483,Fish And Chips With Tartar Souce,Non-veg
fd13484,Chicken Wings Barbecue Souce,Non-veg
fd13485,Mexican Fried Chicken With Tartar Souce,Non-veg
fd13486,American Fried Chicken With Cocktail Souce,Non-veg
fd13487,Chicken Chilli Cheese Burger,Non-veg
fd13488,Chicken Tikka Cheese Burger,Non-veg
fd13489,Chicken Cheese Burger,Non-veg
fd13490,Corn Cheese Burger,Veg
fd13491,Mushroom Cheese Burger,Veg
fd13492,Paneer Cheese Burger,Veg
fd13494,Fish Burger,Non-veg
fd13496,Caesar Salad,Veg
fd13497,Chicken Russian Salad,Non-veg
fd13499,Chicken Waldrof Salad,Non-veg
fd13500,Waldrof Salad,Veg
fd13501,Chicken Greek Salad,Non-veg
fd13503,Chicken Stroganoff With Pilaf Rice,Non-veg
fd13504,Grill Chicken With Garlic Bread,Non-veg
fd13505,Grill Fish With Lemon Butter Sauce With Garlic Bread,Non-veg
fd13506,Paneer Steak Bowl,Veg
fd13507,Veg Stroganoff With Pilaf Rice,Veg
fd13509,Murg Gulafi Seek Kabab,Non-veg
fd13511,Sufiyana Paneer Tikka,Veg
fd13512,Afghani Paneer Tikka,Veg
fd13515,Veg Seek Kabab,Veg
fd13516,Paneer Seek Kabab,Veg
fd13517,Saufiyana Paneer Tikka,Veg
fd13521,Dahi Ke Kabab,Veg
fd13522,Afgani Fish Tikka,Non-veg
fd13523,Haryali Fish Tikka,Non-veg
fd13524,Fish Ajwani Tikka,Non-veg
fd13525,Chicken Gilafi Seek Kabab,Non-veg
fd13526,Chicken Mastana Kabab,Non-veg
fd13527,Chicken Seek Kabab,Non-veg
fd13533,Chicken Malai Tikka (Chef Stlye),Non-veg
fd13534,Chicken Gulathi Kabab,Non-veg
fd13535,Murg Tikka Kali Mirch,Non-veg
fd13540,Veg Lemon Corriander Soup,Veg
fd13546,Chicken Lemon Corriander Soup,Non-veg
fd13547,Chicken Wonton Soup,Non-veg
fd13553,Mix Veg Pakora,Veg
fd13558,Chilli Paneer In Teriyaki Sauce,Veg
fd13563,Crunchy Veg Mangolian,Veg
fd13564,Channa Pepper Salt,Veg
fd13567,Cheese Balls 8pcs,Veg
fd13568,Cheese Poppers,Veg
fd13569,Tandoori Chicken Chili,Non-veg
fd13572,Prawn Pepper Salt,Non-veg
fd13573,Prawn Pakora,Non-veg
fd13574,Chicken Pakora(boneless),Non-veg
fd13575,Chicken Olympia,Non-veg
fd13578,Chicken Hong Kong,Non-veg
fd13581,Chicken Dry Fry (Boneless),Non-veg
fd13582,Prawn in Oyster and Wine Sauce,Non-veg
fd13583,Prawn Chilly,Non-veg
fd13584,Prawn Sweet and Sour,Non-veg
fd13585,Chicken Ginger & Garlic,Non-veg
fd13586,Fish Chilli Mustard,Non-veg
fd13591,Veg Assorted Momo,Veg
fd13592,Shanghai Fried Rice,Veg
fd13595,Burnt Garlic Fried Rice,Veg
fd13597,Singaporean Fried Rice,Veg
fd13598,Prawn Mix Fried Rice,Non-veg
fd13600,Chicken Singaporean Fried Rice,Non-veg
fd13601,Chichen Schezwan Fried Rice,Non-veg
fd13603,Chicken Shangai Fried Rice,Non-veg
fd13604,Veg Stir Fried Noodles,Veg
fd13607,Veg Shangai Noodles,Veg
fd13609,Veg Teriyaki Noodles,Veg
fd13610,Mushroom Haka Noodles,Veg
fd13612,Veg American Chopsuey,Veg
fd13613,Veg Chinese Chopsuey,Veg
fd13614,Chicken Stir Fried Noodles,Non-veg
fd13615,Egg Pan Fried Noodles,Non-veg
fd13618,Chicken Shangai Noodle,Non-veg
fd13619,Chicken Teriyaki Noodles,Non-veg
fd13623,Prawn Mix Noodles,Non-veg
fd13624,Kofta Biryani,Veg
fd13626,Special Biryani,Veg
fd13630,Chicken Tikka Biryani (4 pcs),Non-veg
fd13632,Garden Surprise,Veg
fd13634,Muttar Paneer,Veg
fd13637,Paneer Kurchan,Veg
fd13638,Paneer Matar Makhani,Veg
fd13641,Aloo Dum Banarasi,Veg
fd13642,Vegetable Kofta (4 Pcs),Veg
fd13644,Kashmiri Kofta (4 Pcs),Veg
fd13652,Paneer Kofta (4 Pcs),Veg
fd13653,Shahi Paneer Korma,Veg
fd13663,Chicken Lapeta,Non-veg
fd13664,Chicken Bharta (Boneless),Non-veg
fd13669,Chicken Dehati Style,Non-veg
fd13670,Murg Musallam (Full),Non-veg
fd13671,Murg Musallam (Half),Non-veg
fd13672,Chicken Hawa Mahal,Non-veg
fd13675,Egg Do Pyaaza,Non-veg
fd13678,Egg Bhujia,Non-veg
fd13679,Fish Fry (4 Pcs),Non-veg
fd13682,Kolkata Style Fish Curry,Non-veg
fd13683,Prawn Do Pyaza,Non-veg
fd13689,Dal Punch Mela,Veg
fd13692,Missi roti,Veg
fd13693,Butter Missi Roti,Veg
fd13694,Khasta Roti,Veg
fd13696,Laccha Paratha (Pudina/ Garlic/ Methi),Veg
fd13699,Kabuli Naan,Veg
fd13701,Paneer Stuff Naan,Veg
fd13704,Keema Naan (Chicken),Non-veg
fd13709,Keema Kulcha (Chicken),Non-veg
fd13714,Mix Paratha ( 2 Pcs),Veg
fd13715,Paneer Paratha (2 Pcs),Veg
fd13718,Veg Peas Pulao,Veg
fd13721,Veg Dal Khichdi,Veg
fd13723,Kachori Chaat,Veg
fd13724,Chole Batura,Veg
fd13725,Samosa [4pc],Veg
fd13726,Aloo Chop [4pc],Veg
fd13727,Pyazi [4pc],Veg
fd13728,Bhela Kachori [4pc],Veg
fd13729,Khasta Kachori [4pc],Veg
fd13730,Puri Sabji [4pc],Veg
fd13731,Onion Chop [6pc],Veg
fd13734,Chilly Babycorn,Veg
fd13736,Paneer Pakoda [8pc],Veg
fd13737,Corn Pakoda [8pc],Veg
fd13738,Musgroom Chilli,Veg
fd13740,Chilly Chicken [8pc],Non-veg
fd13741,Chicken Lollipop [6pc],Non-veg
fd13742,Chicken Manchurian [8pc],Non-veg
fd13743,Chicken 65 [8 pc],Non-veg
fd13744,Garlic Chicken [8pc],Non-veg
fd13745,Rahu Fish Fry [2pc],Non-veg
fd13752,Omlett,Non-veg
fd13760,Veg Jhal Fry,Veg
fd13761,Musghroom Do Payaza,Veg
fd13768,Yellow Dal Double Fry,Veg
fd13769,Anda Masala,Non-veg
fd13771,Anda Do Pyaza,Non-veg
fd13772,Chicken Do Pyaza [2pc],Non-veg
fd13773,Chicken Masala [2pc],Non-veg
fd13774,Desi Chicken Curry [4pc],Non-veg
fd13775,Desi Chicken Kassa [4pc],Non-veg
fd13776,Murg Mussalum Desi [4pc],Non-veg
fd13777,Boiler Murg Mussalum [4pc],Non-veg
fd13778,Boiler Chicken [4pc],Non-veg
fd13779,Chicken Kadai [2pc],Non-veg
fd13780,Port Kaleji,Non-veg
fd13781,Mutton Kassa [4pc],Non-veg
fd13782,Mutton Kassa [2pc],Non-veg
fd13783,Rehu Fish Masala [2pc],Non-veg
fd13784,Rehu Fish Curry [2pc],Non-veg
fd13785,Fish Tomato Rehu,Non-veg
fd13788,Aloo Paratha [2pc],Veg
fd13790,Arwa Rice Thali,Veg
fd13791,Usna Thali,Veg
fd13792,Basmati Thali,Veg
fd13793,Plain Basmati Rice,Veg
fd13794,Jeera Rice (Basmati),Veg
fd13797,Basmati Curd Rice,Veg
fd13799,Veg Biryani [Half],Veg
fd13802,Mutton Biryani Full [2pc],Non-veg
fd13803,Mutton Biryani Half [1pc],Non-veg
fd13805,Veg Schezuan Fried Rice,Veg
fd13808,Veg Chowmin Gravy,Veg
fd13810,Veg Chilly Garlic Noodles,Veg
fd13811,Egg Chowmin Gravy,Non-veg
fd13812,Egg Hakka,Non-veg
fd13813,Chicken Hakka,Non-veg
fd13814,Lemcha [1pc],Veg
fd13816,Fish Curry + Basmati Rice Full [2pc],Non-veg
fd13817,Fish Masala + Basmati Jeera Rice [2pc],Non-veg
fd13818,Fish Masala + Arwa Thali,Non-veg
fd13819,Boiler Chicken Curry + Arwa Thali [2pc],Non-veg
fd13820,Chicken Curry + Basmati Jeera Rice [2pc],Non-veg
fd13821,Chicken Curry + Usna Rice [2pc],Non-veg
fd13822,Mutton +Arwa Rice [2pc],Non-veg
fd13823,Mutton +Arwa Rice [4pc],Non-veg
fd13827,Fruit Raita,Veg
fd13828,Mineral Water Bottle [1litre],Veg
fd13830,Rajkachori Chaat,Veg
fd13831,Kalakand (250 Gms ),Veg
fd13834,Mango Steam Roll ( Per Piece ),Veg
fd13836,Mexican Dosa,Veg
fd13843,Idli (2 Pc),Veg
fd13844,Vada (2 Pc),Veg
fd13847,Patisha Rolll 400grams,Veg
fd13848,Desi Ghee Soanpapdi 500 Grams,Veg
fd13850,Kaju Katli 500 Grams,Veg
fd13859,Dahi Puri Chaat ( 5 Pc ),Veg
fd13865,Dhokla Chaat,Veg
fd13881,Special Besan Laddu Box,Veg
fd13883,Ghee Ladu 500 Gm,Veg
fd13907,Mango Choco Roll (2 Pcs),Veg
fd13908,Mango Choco Roll (250 Gms),Veg
fd13909,Misti Doi Handi ( 250 Gms ),Veg
fd13910,Misti Doi Handi (100 Gms),Veg
fd13911,Fresh Dahi (200 Gms ),Veg
fd13912,Fresh Paneer (250 Gms),Veg
fd13913,Khoya (250 Gms ),Veg
fd13919,Kaju Kesar Barfi (250 Gm),Veg
fd13924,Kaju Barfi 250 Gms,Veg
fd13927,Jhal Muri (1 Glass Pack),Veg
fd13930,Mix Mixture (200 gms),Veg
fd13931,Special Potato Chips,Veg
fd13933,Special Nimki Jar (500 gms),Veg
fd13934,Bangla Nimki Jar (250gm),Veg
fd13935,Sohali Mathri (200gms),Veg
fd13936,Min Samosa (200 gms),Veg
fd13937,Bhakarwadi (200 gms),Veg
fd13938,Fafda Ghatiya ( 250 Gm ),Veg
fd13940,Suji Ke Golgappe [ 5 Pc ],Veg
fd13941,Aate Ke Golgappe [ 6 Pc ],Veg
